Application ID,Name,Alias Name,Description,Owned by,Delegate,Active,Status,Criticality Tier,Data classification,Access Revalidation Frequency,Access Revalidation Last Performed,Access Review N/A,ASCA Certified,Business Unit,CI Flag,Cost center,Data Privacy,IBM & RH Fin Sig,Link to Access Revalidation Documentation,Next Access Revalidation Review Date,Privacy (PIA) assessment URL,RH High Risk,RH SOC2,RWI,SOA Applicable,SOA Approval Date,SOA Approver,SOA Expiration Date,Security (ESS) assessment URL,Service Impact Analysis (SIA) URL,Application type,Architecture type,Architecture type.1,Cloud Account ID,OwnedBy Department
DLAK-001,DXP Data lake,XE/DX,"As the number and variety of content systems in DXP has grown, there is a growing desire to share the content between those systems and decouple the data management from the data presentation to allow for more agility. This document lays out what our expectations are for a data lake, concerns we need to acknowledge and some strategies for implementing.",Erik Newby,Rob Coffman,True,In Production,C1,RH-Public,Annually,,False,False,,,,34efd2981b733810ab60fc87dc4bcb88,False,,,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcT6H,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
DMS-001,Dead Man's Snitch,,"Dead Man's Snitch is a monitoring tool for cron, Heroku Scheduler, or any periodic process. Dead Man's Snitch will notify you when your scheduled tasks don't run so you can investigate before it becomes a problem.",Amber Krawczyk,Dustin Row,True,In Production,C1,RH-Restricted(+PII),Annually,2024-06-28,False,False,,,,bc2fdff3db42345033c345e8139619a8,False,https://docs.google.com/spreadsheets/d/1ny-zuohpPdO1YnYzw5lqlaA0JgYYgbiqTOxy4crTbJc/edit?usp=sharing,2025-06-28,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcTUq,SaaS,"External (INTERNET facing) Web Application, target audience RH Customers",,,
DMSG-001,messagebusd,EXD/SP,"A general purpose daemon that reacts to UMB messages, performing actions. Runs plugins for various use-cases including build notifications, repo generation, and some middleware workflows.",Mike Bonnet,Mike Bonnet,True,In Production,C4,RH-Restricted(+PII),Annually,,False,False,,,,cbf5205adba8f410c4db45e8139619e1,False,,,,False,False,False,False,2023-04-20,David Mair,2024-04-22,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcTEP,Custom,,,,
DOCS-002,Product Documentation,XE/DX,This application is used for the front end SPA for product documentation.,Kyle Buchanan,Kishori Patil,True,In Production,C1,RH-Public,Annually,,False,False,,,,e1b409c94722f11066394ab3636d43f2,False,,,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qR1Ie,Custom,"Platform (e.g., Openshift Platform, Managed Platform (MP), MP+)",,,
DPP-002,DXP Product Platform,XE/DX,This is a drupal site under access.redhat.com called the product platform,Travis McTighe,April Sides,True,In Production,C1,RH-Public,Annually,,False,False,,,,e0dbae7f1b367810aa0f960abc4bcbf7,False,,,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcTgn,Custom,,,,
DRM-001,Digital Roadmap,,"The goal of this feature is to provide tailored forward-looking roadmap information to RHEL customers, as well as providing tailored information on how current RHEL minor and major releases will affect the customers environment.  

This will enable customers to confidently understand the impact of upgrading systems (for both minor and major releases) in their environment (including positive and negative impacts), and will enable them to better understand what is coming in future RHEL releases so that they can better plan and provide feedback to Red Hat early if needed.",Sam Doran,Christopher Duryee,True,In Production,C2,RH-Restricted(+PII),Annually,,False,False,,,,d041540a336592106c59a3570e5c7b0e,False,,,https://redhat.service-now.com/now/nav/ui/classic/params/target/asmt_assessment_instance.do%3Fsys_id%3De719deaefb6152d40cddf45d5eefdc59,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qdRlM,Custom,"Platform (e.g., Openshift Platform, Managed Platform (MP), MP+)",,,
DSBX-001,Developer Sandbox,,Developer Sandbox is a multitenant evaluation system to enable customers to evaluate OpenShift and a selected set of RH applications in a live environment.,Michael Kleinhenz,Panagiotis Georgiadis,True,Limited Service,C4,RH-Restricted(+PII),Annually,,False,False,,,,ded00833b3035154df474ba5fe07629d,False,,,https://source.redhat.com/departments/it/it-information-security/data_privacy/pia_wiki/developer_sandbox_privacy_impact_assessment_recommendations,False,False,False,False,,,,https://source.redhat.com/departments/it/it-information-security/ess/assessments/developer_sandbox_essv9_assessment_and_recommendations,https://redhat-fusion.force.com/portal/s/application/a035Y00000fg2wt,SaaS,,,,
DSSF-001,Red Hat Design System Static Files,XE/DX CDN,"""Red Hat Design System Static Files"" is a static CDN hosted on redhatstatic.com, running on the SSR platform on MP+",Mark Caron,Luke Dary,True,In Production,C1,RH-Public,Annually,,False,False,,,,8dc51d4cdb5d2518bd297e83e29619cb,False,,,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000g07iz,Custom,Non-Web Application / Service (regardless of user base and intranet/internet facing),,,
DYNA-001,Dynatrace,,"Dynatrace is an Observability Solution which is suitable for observing our Managed Cloud Service offering like ROSA, ARO, OSD, RHOAM, KAFKA etc and Ansible AAP deployments on multiple cloud platforms.",Aaron Weitekamp,Guillaume Pont,True,In Production,C1,RH-Restricted(+PII),Annually,,False,False,,,,ca16f02e9720e5102f8d361e6253af00,False,,,,False,False,True,False,,,,https://redhat.service-now.com/now/nav/ui/classic/params/target/cmdb_ci_business_app.do%3Fsys_id%3D8216f02e9720e5102f8d361e6253af00%26sysparm_record_target%3Dcmdb_ci_business_app%26sysparm_record_row%3D1%26sysparm_record_rows%3D1%26sysparm_record_list%3DnameCONTAINSdynatrace%255EORDERBYname,https://redhat-fusion.force.com/portal/s/application/a035Y00000fzjFB,SaaS,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
EAP-007,eap-prod-jenkins-master,,Jenkins infrastructure required to produce EAP-Productisation deliverables (located at https://jenkins-csb-eap-prod.dno.corp.redhat.com/),Ettore Leandro Tognoli,Vladimir Dosoudil,True,In Production,C2,RH-Restricted(+PII),Annually,,False,False,,,,9497f9ae1bd7c110477e43fccd4bcb5e,False,,,https://redhat.service-now.com/help?id=rh_survey_detail&sys_id=9dfcf0e1479456d4256ef65c716d439a,False,False,False,True,2024-09-12,Stephen Siravo,2025-03-12,,https://redhat-fusion.force.com/portal/s/application/a035Y00000WhcIn,Product Pipeline,"External (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
EATR-001,Easy Agile TeamRhythm,,"Sprint planning, backlog refinement, and team retrospectives. TeamRhythm instantly integrates and syncs with Jira",Sagar Mahajan,Amol Dongare,True,Implementing,C4,RH-Restricted(+PII),Annually,,False,False,,,,3505fe2787b08e10949fbbbf8bbb35c5,False,,,,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000t9YIz,COTS,,,,
FILE-003,mwc-filemgmt,XE/DX,This service gives possibility for the jboss.org hosted projects to upload static content for their websites. They upload content via sftp/rsync to filemgmt.jboss.org.,Rob Coffman,Mark Austin,True,In Production,C2,RH-Restricted(+PII),Annually,,False,False,,,,9ff5205adba8f410c4db45e8139619fd,False,,,,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcT3a,Custom,,,,
FLAG-001,semaphore-flags,EXD/SP,CI for publishing pipeline freeze flags,Jiri Kriz,John Casey,True,In Production,C4,RH-Restricted(+PII),Annually,,False,False,,,,48eb476adbce0dd033c345e8139619bc,False,,,https://source.redhat.com/departments/it/it-information-security/data_privacy/data_privacy_wiki/data_processing_record_instructions_introduction,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000Wgair,Custom,,,,
HAS-001,Hybrid Application Service,,This application is part of AppStudio and consists of one components 1) A Kubernetes operator to create and manage applications and control the lifecycle of applications.,Cathal O'Connor,Krunoslav Pavic,True,Limited Service,C4,RH-Restricted(+PII),Annually,,False,False,,,,982d6a3bdb5ec9d0c4db45e813961958,False,,,https://assess.truste.com/#/report/b30ce0a7-0690-4534-afd2-e75488c39006/summary,False,False,False,True,2025-05-27,Joe Tinkham,2027-05-27,https://redhat.service-now.com/nav_to.do?uri=cmdb_ci_business_app.do?sys_id=9c2d6a3bdb5ec9d0c4db45e813961957%26sysparm_view=pia,https://redhat-fusion.force.com/portal/s/application/a035Y00000Wgtzd,SaaS,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
HIVE-001,HIVE,,OpenShift Cluster Creation API,Mike Worthington,Eric Fried,True,In Production,C1,,Annually,,False,False,,,,1ba8d36e8749955007c9ed3c8bbb3512,False,,,,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000OajM7,SaaS,,,,
HYDR-003,Hydra Bridge,,"Scalable middleware layer that connects internal systems with Salesforce via REST APIs. It acts as a unified integration point, streamlining communication, transforming payloads, and enabling seamless data exchange across enterprise applications.",Devayush Bajaj,Ankit Bajpai,True,In Production,C1,,Annually,,False,False,,,,7fc452403b6faad0fdf1bd8c24e45a94,False,,,,False,False,True,False,,,,,,Custom,,,,
HYDR-004,Hydra Attachments,,Hydra Attachments for SCT to link attachments to support cases,Chaitanya Gujarathi,Ankit Bajpai,True,In Production,C1,,Annually,,False,False,,,,a48a47963b6b2618fdf1bd8c24e45a1a,False,,,,False,False,False,False,,,,,,Custom,,,,
JMA-001,Jira Mobile App,,"The mobile app for Red Hat One Jira, which provides project, program, and portfolio management via a mobile app.",Abby Domanowski,Stacey Hamilton,True,Implementing,C4,RH-Restricted(+PII),Annually,,False,False,,,,d6b4ae5d33065ad0175f02b19e5c7bce,False,,,,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qdT7E,COTS,"External (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
KBPL-001,Konflux Build Pipeline,,Konflux build pipelines https://github.com/konflux-ci/build-definitions,Ladislav Kolacek,Mykola Morhun,True,In Production,C2,RH-Restricted(+PII),Annually,,False,False,,,,2afd441b2b7c2e54ec2ef42f4e91bf3f,False,,,,False,False,False,True,2026-01-13,Joe Tinkham,2026-07-27,,,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
KUI-001,Konflux UI,,UI for Red Hat Konflux. Repository: https://github.com/konflux-ci/konflux-ui,Adam Ormandy,Sahil Budhwar,True,In Production,C4,RH-Restricted(+PII),Annually,,False,False,,,,e1a984e03bf1de182800053a85e45a87,False,,,https://redhat.service-now.com/help?id=rh_survey_detail&sys_id=428aa03d3bb19e54053f8e7a25e45a96,False,False,False,True,2026-01-21,Katie Mulliken,2026-07-20,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qdSHR,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
MOD-001,Manager On Duty,XE/DX,"When on duty  support managers shift is finished, they use the app to handover their critical open support cases to the next manager in different time zones. Support managers add case numbers and optional notes on each case on the app. Then by clicking a button an email will be sent to the support team that contains case lists, notes, case counts in different categories and link to a SalesForce report.",Pravin Pareekh,Homa Seyed Alshohadaei,True,In Production,C2,RH-Restricted(+PII),Annually,,False,False,,,,613f3bf687f78e14d5cc642c8bbb35b4,False,,,,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qdL9H,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
MONK-001,Monk,,Google Doc extension to assist the Product Security > Security Research team in their workflow.,Thibault Guittet,Thibault Guittet,True,Pilot,C4,RH-Restricted(+PII),Annually,,False,False,,,,c95052c9db67011033c345e8139619f9,False,,,,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000WhieC,SaaS,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
OCUI-002,OCMUI,,Product OCM UI /Openshift development and testing,Joseph Caiani,Jayakrishnan Mekkattillam,True,In Production,C1,,Annually,,False,False,,,,49e0cf6093a2a6d47df0bfbd1dba1038,False,,,,False,False,False,False,,,,,,Custom,,,,
OIA-004,ObsInt Dataverse Lightspeed,,Observability Intelligence tool chain to pre-process and populate Lightspeed data in Dataverse.,Martin Bacovsky,Tomas Sedlacek,True,Implementing,C4,RH-Restricted(+PII),Annually,,False,False,,,,544b76f92b48be1ca827f3a3d891bfb9,False,,,,False,False,False,False,,,,,,Custom,Non-Web Application / Service (regardless of user base and intranet/internet facing),,,
ONEP-005,One Platform Notifications Service,XE/DX,Notifications Service that provides APIs and interfaces for Email Templates for the One Platform / Experience Platform.,Nilesh Patil,Mayur Deshmukh,True,In Production,C1,RH-Restricted(+PII),Annually,,False,False,,,,c707eece87992510a92b4156cebb3532,False,,,https://redhat.service-now.com/nav_to.do?uri=asmt_assessment_instance.do?sys_id=3e115efc93926a187df0bfbd1dba1082,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000g0Dql,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
PERF-017,AWS account to run Konflux perf&scale tests,,"AWS account to run Konflux perf&scale tests
https://docs.google.com/document/d/1fZZ6qT1eyHT0UKxtiNa-VF3o7mdGHTDwdzavoRkrwNI/edit?tab=t.dt49brhizmjb#heading=h.mvwyex18a0pz",Pradeep Surisetty,Jan Hutar,True,In Production,C1,,Annually,,False,False,,,,107d583a3b562ad02800053a85e45a5d,False,,,,False,False,False,False,,,,,,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
PRIM-002,Primer,,"Primer is the single layer shared by all applications on the Red Hat Customer Portal. Primer consists of a component library, the Customer Portal header and footer menus, common JS and CSS for the portal, SSO integration, and Customer Portal Analytics.",Tyler Martin,Matt Smith,True,In Production,C1,,Annually,,False,False,,,,e56f87edfb5ab618ece2f7744eefdc2c,False,,,,False,False,False,False,,,,,,Custom,,,,
QUBI-001,qubip-demo,,EU grant QUBIP demo,Dmitry Belyavskiy,Matej Tyc,True,Pilot,C1,,Annually,,False,False,,,,0ec2d5112b33e250a827f3a3d891bffd,False,,,,False,False,False,False,,,,,,Custom,,,,
RHDH-007,rhdh-sidekick,,"RHDH Sidekick is a locally-running engineering assistant that integrates with development tools (GitHub, Jira, codebase) to automate routine tasks. It provides AI-powered search, release notes generation, test failure analysis, and interactive chat interfaces.",Rob Taniwa,Marcel Hild,True,Pilot,C4,RH-Restricted(+PII),Annually,,False,False,,,,7dbde8313bc032d0fdf1bd8c24e45a89,False,,,,False,False,False,False,,,,,,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
RHOB-002,RHOBS for ROSA,,Regionalized observability platform for ROSA (RHOBS.next),Daniel Mohr,Moad Zardab,True,Implementing,C1,RH-Restricted,Annually,,False,False,,,,9186f27e3ba93a14fdf1bd8c24e45af6,False,,,,False,False,False,False,,,,,,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
